f2-0184	measure	2	3	4	1	0	two	normal
f2-0185	measure	2	3	4	1	0	three	normal
f2-0186	measure	2	3	4	0	4	three	normal
f2-0187	measure	2	3	4	0	4	two	normal
f2-0188	measure	2	3	4	0	4	original	normal
f2-0189	measure	2	3	4	1	1	three	normal
f2-0190	measure	2	3	4	1	1	two	normal
f2-0191	measure	2	3	4	1	1	original	normal
f2-0192	measure	2	3	4	1	2	original	normal
f2-0193	measure	2	3	4	1	2	two	normal
f2-0194	measure	2	3	4	1	2	three	normal
f2-0195	measure	2	3	4	2	2	original	normal
f2-0196	measure	2	3	4	2	2	two	normal
f2-0197	measure	2	3	4	2	2	three	normal
f2-0198	measure	2	4	4	2	3	two	normal
f2-0199	measure	2	4	4	2	3	three	normal
f2-0200	measure	2	4	4	2	3	original	normal
f2-0201	measure	2	4	4	1	5	two	normal
f2-0202	measure	2	4	4	1	5	three	normal
f2-0203	measure	2	4	4	1	5	original	normal
f2-0204	measure	2	4	4	2	6	original	normal
f2-0205	measure	2	4	4	2	6	three	normal
f2-0206	measure	2	4	4	2	6	two	normal
f2-0207	measure	2	4	4	0	4	original	normal
f2-0208	measure	2	4	4	0	4	three	normal
f2-0209	measure	2	4	4	0	4	two	normal
f2-0210	measure	2	4	4	0	1	two	normal
f2-0211	measure	2	4	4	0	1	three	normal
f2-0212	measure	2	4	4	0	1	original	normal
f2-0213	measure	2	4	4	1	0	two	normal
f2-0214	measure	2	4	4	1	0	three	normal
f2-0215	measure	2	4	4	1	0	original	normal
f2-0216	measure	2	4	4	2	0	two	normal
f2-0217	measure	2	4	4	2	0	original	normal
f2-0218	measure	2	4	4	2	0	three	normal
f2-0219	measure	2	4	4	0	0	three	normal
f2-0220	measure	2	4	4	0	0	original	normal
f2-0221	measure	2	4	4	0	0	two	normal
f2-0222	measure	2	4	4	1	1	two	normal
f2-0223	measure	2	4	4	1	1	three	normal
f2-0224	measure	2	4	4	1	1	original	normal
f2-0225	measure	2	4	4	2	2	two	normal
f2-0226	measure	2	4	4	2	2	original	normal
f2-0227	measure	2	4	4	2	2	three	normal
f2-0228	measure	2	4	4	1	2	two	normal
f2-0229	measure	2	4	4	1	2	three	normal
f2-0230	measure	2	4	4	1	2	original	normal
f2-0231	measure	2	5	4	1	0	original	normal
f2-0232	measure	2	5	4	1	0	two	normal
f2-0233	measure	2	5	4	1	0	three	normal
f2-0234	measure	2	5	4	0	1	three	normal
f2-0235	measure	2	5	4	0	1	original	normal
f2-0236	measure	2	5	4	0	1	two	normal
f2-0237	measure	2	5	4	0	0	three	normal
f2-0238	measure	2	5	4	0	0	original	normal
f2-0239	measure	2	5	4	0	0	two	normal
f2-0240	measure	2	5	4	1	5	two	normal
f2-0241	measure	2	5	4	1	5	three	normal
f2-0242	measure	2	5	4	1	5	original	normal
f2-0243	measure	2	5	4	1	2	original	normal
f2-0244	measure	2	5	4	1	2	three	normal
f2-0245	measure	2	5	4	1	2	two	normal
f2-0246	measure	2	5	4	2	0	two	normal
f2-0247	measure	2	5	4	2	0	three	normal
f2-0248	measure	2	5	4	2	0	original	normal
f2-0249	measure	2	5	4	2	2	original	normal
f2-0250	measure	2	5	4	2	2	three	normal
f2-0251	measure	2	5	4	2	2	two	normal
f2-0252	measure	2	5	4	1	1	three	normal
f2-0253	measure	2	5	4	1	1	two	normal
f2-0254	measure	2	5	4	1	1	original	normal
f2-0255	measure	2	5	4	2	6	two	normal
f2-0256	measure	2	5	4	2	6	three	normal
f2-0257	measure	2	5	4	2	6	original	normal
f2-0258	measure	2	5	4	2	3	original	normal
f2-0259	measure	2	5	4	2	3	three	normal
f2-0260	measure	2	5	4	2	3	two	normal
f2-0261	measure	2	5	4	0	4	three	normal
f2-0262	measure	2	5	4	0	4	two	normal
f2-0263	measure	2	5	4	0	4	original	normal
f2-0264	measure	2	6	4	1	0	two	normal
f2-0265	measure	2	6	4	1	0	original	normal
f2-0266	measure	2	6	4	1	0	three	normal
f2-0267	measure	2	6	4	1	2	original	normal
f2-0268	measure	2	6	4	1	2	three	normal
f2-0269	measure	2	6	4	1	2	two	normal
f2-0270	measure	2	6	4	1	5	three	normal
f2-0271	measure	2	6	4	1	5	original	normal
f2-0272	measure	2	6	4	1	5	two	normal
f2-0273	measure	2	6	4	2	2	original	normal
f2-0274	measure	2	6	4	2	2	three	normal
f2-0275	measure	2	6	4	2	2	two	normal
f2-0276	measure	2	6	4	0	1	original	normal
f2-0277	measure	2	6	4	0	1	two	normal
f2-0278	measure	2	6	4	0	1	three	normal
f2-0279	measure	2	6	4	1	1	two	normal
f2-0280	measure	2	6	4	1	1	three	normal
f2-0281	measure	2	6	4	1	1	original	normal
f2-0282	measure	2	6	4	2	3	original	normal
f2-0283	measure	2	6	4	2	3	three	normal
f2-0284	measure	2	6	4	2	3	two	normal
f2-0285	measure	2	6	4	0	0	original	normal
f2-0286	measure	2	6	4	0	0	three	normal
f2-0287	measure	2	6	4	0	0	two	normal
f2-0288	measure	2	6	4	0	4	original	normal
f2-0289	measure	2	6	4	0	4	two	normal
f2-0290	measure	2	6	4	0	4	three	normal
f2-0291	measure	2	6	4	2	0	two	normal
f2-0292	measure	2	6	4	2	0	three	normal
f2-0293	measure	2	6	4	2	0	original	normal
f2-0294	measure	2	6	4	2	6	two	normal
f2-0295	measure	2	6	4	2	6	three	normal
f2-0296	measure	2	6	4	2	6	original	normal
f2-0297	measure	2	7	4	0	1	original	normal
f2-0298	measure	2	7	4	0	1	two	normal
f2-0299	measure	2	7	4	0	1	three	normal
